game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,offensive_rebounds,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name
300916020,2010,3,2010-09-16,2010-09-17T00:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,away,87,True,19,3,24,44.6,29,65,0,25,73.3,22,30,7,9,0,0,31.8,7,22,31,0,13,13,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream
300916020,2010,3,2010-09-16,2010-09-17T00:00:00Z,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,home,84,False,20,3,25,40.3,29,72,0,21,73.1,19,26,9,9,0,0,38.9,7,18,34,0,13,13,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
300914014,2010,3,2010-09-14,2010-09-15T01:00:00Z,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,away,84,False,14,3,22,45.7,32,70,0,32,69.6,16,23,11,9,1,0,36.4,4,11,33,0,20,19,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
300914014,2010,3,2010-09-14,2010-09-15T01:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,home,87,True,14,2,22,48.3,28,58,0,18,73.0,27,37,4,13,2,0,25.0,4,16,26,0,18,16,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream
300912014,2010,3,2010-09-12,2010-09-12T19:00:00Z,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,away,77,False,16,5,23,41.6,32,77,0,20,81.8,9,11,11,10,1,0,26.7,4,15,34,0,12,11,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
300912014,2010,3,2010-09-12,2010-09-12T19:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,home,79,True,19,6,26,44.3,31,70,0,17,78.6,11,14,10,5,0,0,37.5,6,16,36,0,18,18,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream
300907020,2010,3,2010-09-07,2010-09-07T23:30:00Z,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,away,93,False,20,1,17,50.0,36,72,0,29,64.0,16,25,11,4,1,0,41.7,5,12,28,0,15,14,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream
300907020,2010,3,2010-09-07,2010-09-07T23:30:00Z,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,home,105,True,21,9,23,52.2,36,69,0,24,80.6,29,36,10,9,0,0,36.4,4,11,33,0,10,10,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty
300905009,2010,3,2010-09-05,2010-09-05T23:00:00Z,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,away,81,True,16,4,25,38.9,28,72,0,19,77.4,24,31,15,10,0,0,20.0,1,5,40,0,8,8,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty
300905009,2010,3,2010-09-05,2010-09-05T23:00:00Z,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,home,75,False,19,6,19,44.4,28,63,0,20,85.7,12,14,9,2,0,0,41.2,7,17,28,0,15,15,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream
300905011,2010,3,2010-09-05,2010-09-05T19:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,away,91,True,18,4,24,46.5,33,71,0,20,70.8,17,24,14,10,1,0,30.8,8,26,38,0,17,16,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury
300905011,2010,3,2010-09-05,2010-09-05T19:00:00Z,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,home,88,False,18,6,23,48.4,30,62,0,21,85.0,17,20,6,9,0,0,50.0,11,22,29,0,15,15,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
300902014,2010,3,2010-09-02,2010-09-03T02:00:00Z,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,away,74,False,19,5,25,38.0,27,71,0,22,64.7,11,17,9,6,0,0,60.0,9,15,34,0,11,11,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
