game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,offensive_rebounds,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name
401726992,2024,3,2024-10-20,2024-10-21 00:00:00+00:00,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,away,62,False,16,4,29,37.1,26,70,0,21,87.5,7,8,4,6,1,0,15.8,3,19,33,0,17,16,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty
401726992,2024,3,2024-10-20,2024-10-21 00:00:00+00:00,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,home,67,True,15,6,35,30.6,22,72,0,17,84.0,21,25,9,9,0,0,8.7,2,23,44,0,12,12,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx
401726991,2024,3,2024-10-18,2024-10-19 00:00:00+00:00,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,away,80,False,18,3,31,43.7,31,71,0,14,100.0,9,9,9,7,1,0,39.1,9,23,40,0,16,15,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx
401726991,2024,3,2024-10-18,2024-10-19 00:00:00+00:00,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,home,82,True,20,1,26,44.6,29,65,0,9,75.0,15,20,5,10,1,0,39.1,9,23,31,0,13,12,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty
401726990,2024,3,2024-10-16,2024-10-17 00:00:00+00:00,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,away,80,True,18,9,27,45.9,28,61,0,13,100.0,14,14,6,8,2,0,40.0,10,25,33,0,18,16,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx
401726990,2024,3,2024-10-16,2024-10-17 00:00:00+00:00,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,home,77,False,20,1,25,38.7,29,75,0,18,83.3,10,12,7,12,2,0,42.9,9,21,32,0,12,10,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty
401726989,2024,3,2024-10-13,2024-10-13 19:00:00+00:00,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,away,66,False,20,0,22,45.0,27,60,0,15,85.7,6,7,4,8,0,0,30.0,6,20,26,0,19,19,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty
401726989,2024,3,2024-10-13,2024-10-13 19:00:00+00:00,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,home,80,True,17,2,25,47.5,29,61,1,15,78.6,11,14,10,12,2,0,45.8,11,24,35,0,18,16,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx
401726988,2024,3,2024-10-10,2024-10-11 00:00:00+00:00,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,away,95,True,20,9,27,50.7,36,71,0,16,93.3,14,15,5,8,2,0,40.9,9,22,32,0,12,10,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty
401726988,2024,3,2024-10-10,2024-10-11 00:00:00+00:00,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,home,93,False,21,4,24,37.8,34,90,0,14,85.7,12,14,20,5,4,0,39.4,13,33,44,0,15,11,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx
